state,metropolitan,major_msa,metro_Pop,metro_above_200K_midsize_or_larger
Arizona,"Metro Phoenix","Metro Phoenix",4407915,Y
California,"SF Bay Area","SF Bay Area",7458169,Y
California,"Greater LA","Greater LA",18388091,Y
Delaware,Wilmington-DE,"Greater Philly",549643,Y
"District of Columbia",DC-Core,"Metro DC",647484,Y
Florida,"Metro Miami","Metro Miami",5861000,Y
Georgia,"Metro Atlanta","Metro Atlanta",5535837,Y
Illinois,Chicago-Elgin,"Chicago MSA",8660599,Y
Indiana,Gary,"Chicago MSA",705671,Y
Maryland,DC-MD,"Metro DC",2394916,Y
Maryland,Wilmington-MD,"Greater Philly",101960,N
Massachusetts,"Greater Boston-MA","Greater Boston",4270286,Y
"New Hampshire","Greater Boston-NH","Greater Boston",424279,Y
"New Jersey","Tri State Ex NYC-NJ","Tri State",6580787,Y
"New Jersey","Camden Area","Greater Philly",1252852,Y
"New Jersey",Wilmington-NJ,"Greater Philly",65120,N
"New York",NYC,"Tri State",8426743,Y
"New York","Tri State Ex NYC-NY","Tri State",4618860,Y
Pennsylvania,"Philadelphia & East. PA","Greater Philly",4066105,Y
Pennsylvania,"Tri State Ex NYC-PA","Tri State",56632,N
Texas,"Greater Houston","Greater Houston",6346653,Y
Texas,Dallas-FW,"Dallas MSA",6771641,Y
Virginia,DC-VA,"Metro DC",2864936,Y
"West Virginia",DC-WV,"Metro DC",55214,N
Wisconsin,Lake,"Chicago MSA",167738,N
