state,county,metropolitan,top10_msa_name
Illinois,Cook,Chicago-Elgin,Chicago MSA
Illinois,DuPage,Chicago-Elgin,Chicago MSA
Illinois,Grundy,Chicago-Elgin,Chicago MSA
Illinois,McHenry,Chicago-Elgin,Chicago MSA
Illinois,Will,Chicago-Elgin,Chicago MSA
Illinois,DeKalb,Chicago-Elgin,Chicago MSA
Illinois,Kane,Chicago-Elgin,Chicago MSA
Illinois,Kendall,Chicago-Elgin,Chicago MSA
Illinois,Lake,Chicago-Elgin,Chicago MSA
Indiana,Jasper,Gary,Chicago MSA
Indiana,Lake,Gary,Chicago MSA
Indiana,Newton,Gary,Chicago MSA
Indiana,Porter,Gary,Chicago MSA
Wisconsin,Kenosha,Lake,Chicago MSA
Texas,Collin,Dallas-FW,Dallas MSA
Texas,Dallas,Dallas-FW,Dallas MSA
Texas,Denton,Dallas-FW,Dallas MSA
Texas,Ellis,Dallas-FW,Dallas MSA
Texas,Hunt,Dallas-FW,Dallas MSA
Texas,Kaufman,Dallas-FW,Dallas MSA
Texas,Rockwall,Dallas-FW,Dallas MSA
Texas,Johnson,Dallas-FW,Dallas MSA
Texas,Parker,Dallas-FW,Dallas MSA
Texas,Tarrant,Dallas-FW,Dallas MSA
Texas,Wise,Dallas-FW,Dallas MSA
Virginia,Fairfax,DC-VA,Metro DC
Maryland,Montgomery,DC-MD,Metro DC
Maryland,Prince George's,DC-MD,Metro DC
District of Columbia,District of Columbia,DC-Core,Metro DC
Virginia,Prince William,DC-VA,Metro DC
Virginia,Loudoun,DC-VA,Metro DC
Maryland,Frederick,DC-MD,Metro DC
Virginia,Arlington,DC-VA,Metro DC
Maryland,Charles,DC-MD,Metro DC
Virginia,Alexandria city,DC-VA,Metro DC
Virginia,Stafford,DC-VA,Metro DC
Virginia,Spotsylvania,DC-VA,Metro DC
Maryland,Calvert,DC-MD,Metro DC
Virginia,Fauquier,DC-VA,Metro DC
West Virginia,Jefferson,DC-WV,Metro DC
Virginia,Culpeper,DC-VA,Metro DC
Virginia,Manassas city,DC-VA,Metro DC
Virginia,Warren,DC-VA,Metro DC
Virginia,Fredericksburg city,DC-VA,Metro DC
Virginia,Fairfax city,DC-VA,Metro DC
Virginia,Manassas park city,DC-VA,Metro DC
Virginia,Clarke,DC-VA,Metro DC
Virginia,Falls church city,DC-VA,Metro DC
Virginia,Madison,DC-VA,Metro DC
Virginia,Rappahannock,DC-VA,Metro DC
Massachusetts,Essex,Greater Boston,Greater Boston
Massachusetts,Middlesex,Greater Boston,Greater Boston
Massachusetts,Norfolk,Greater Boston,Greater Boston
Massachusetts,Plymouth,Greater Boston,Greater Boston
Massachusetts,Suffolk,Greater Boston,Greater Boston
New Hampshire,Rockingham,Greater Boston,Greater Boston
New Hampshire,Strafford,Greater Boston,Greater Boston
Texas,Austin,Greater Houston,Greater Houston
Texas,Brazoria,Greater Houston,Greater Houston
Texas,Chambers,Greater Houston,Greater Houston
Texas,Fort Bend,Greater Houston,Greater Houston
Texas,Galveston,Greater Houston,Greater Houston
Texas,Harris,Greater Houston,Greater Houston
Texas,Liberty,Greater Houston,Greater Houston
Texas,Montgomery,Greater Houston,Greater Houston
Texas,Waller,Greater Houston,Greater Houston
California,Los Angeles,Greater LA,Greater LA
California,Ventura,Greater LA,Greater LA
California,San Bernardino,Greater LA,Greater LA
California,Riverside,Greater LA,Greater LA
California,Orange,Greater LA,Greater LA
New Jersey,Burlington,Camden Area,Greater Philly
New Jersey,Camden,Camden Area,Greater Philly
New Jersey,Gloucester,Camden Area,Greater Philly
Pennsylvania,Bucks,Philadelphia & East. PA,Greater Philly
Pennsylvania,Chester,Philadelphia & East. PA,Greater Philly
Pennsylvania,Montgomery,Philadelphia & East. PA,Greater Philly
Pennsylvania,Delaware,Philadelphia & East. PA,Greater Philly
Pennsylvania,Philadelphia,Philadelphia & East. PA,Greater Philly
